WPointID;longitude;latitude;Name;UsedInOSE;Notes;PostCode;Name_old
251;15.2391;45.8952;Radovlja;True;;8220.0;Radovlja (Šmarjeta)
252;15.2389;45.8502;Dobovo;True;;8222.0;Lutrško selo (Otočec)
253;15.2387;45.8052;Potov Vrh;True;;8000.0;Potov vrh
254;15.2383;45.7152;Jugorje pri Metliki;True;;8331.0;Jugorje pri Metliki
255;15.2377;45.5803;Zastava;True;;8340.0;Vranoviči
256;15.3062;46.3899;Vitanje;True;;3205.0;Vitanje (Zreče)
257;15.3057;46.2999;Ivenca;True;;3212.0;Višnja vas (Vojnik)
258;15.3055;46.2549;Celje-Leskovec;True;;3202.0;Leskovec (Celje)
259;15.3052;46.21;Pečovje;True;;3220.0;Pečovje (Celje)
260;15.305;46.165;Olešče;True;;3270.0;Olešče (Šetrupert)
261;15.3047;46.12;Gozdec;True;;3270.0;Gozdec (Rimske Toplice)
262;15.3042;46.03;Droženje;True;;8290.0;Sevnica
263;15.304;45.985;Preska;True;;8294.0;Laze pri Boštanju
264;15.3037;45.94;Bučka;True;;8276.0;Dolenje Dole (Škocjan)
265;15.3035;45.895;Grmovlje;True;;8275.0;Dobruška vas
266;15.3032;45.8501;Dolenji Maharovec;True;;8310.0;Dolenji Maharovec
267;15.3023;45.6701;Grabrovec;True;;8330.0;Grabrovec
268;15.302;45.6251;Primostek;True;;8332.0;Primostek
269;15.3722;46.5247;Lovrenc na Pohorju;True;;2344.0;Lovrenc na Pohorju
270;15.3716;46.4347;Planina na Pohorju;True;;3214.0;Rogla
271;15.3712;46.3897;Loška gora pri Zrečah;True;;3214.0;Loška Gora pri zrečah
272;15.3709;46.3447;Čretvež;True;;3206.0;Čretvež (Zreče)
273;15.3706;46.2997;Spodnje Slemene;True;;3222.0;Zgornje Slemene (Šentjur)
274;15.3703;46.2548;Cerovec;True;;3230.0;Trnovec pri Dramljah
275;15.37;46.2098;Šentjur-Krajnčica;True;;3230.0;Šentjur
276;15.3694;46.1198;Blatni Vrh;True;;3273.0;Blatni Vrh (Jurklošter)
277;15.3691;46.0748;Prapretno;True;;3225.0;Prapretno (Sevnica)
278;15.3685;45.9848;Ponikve pri Studencu;True;;8293.0;Blanca
279;15.3682;45.9398;Celine;True;;8274.0;Raka
280;15.3679;45.8949;Gmajna;True;;8274.0;Mali Koren
281;15.3676;45.8499;Groblje pri Preklopi;True;;8310.0;Gornja Prekopa
282;15.3664;45.6699;Drašči;True;;8330.0;Drašiči
283;15.4366;46.4345;Kot na Pohorju;True;;2317.0;Kot na Pohorju
284;15.4363;46.3895;Oplotnica;True;;2317.0;Oplotnica (Zreče)
285;15.4359;46.3445;Slovenske Konjice;True;;3210.0;Slovenske Konjice
286;15.4355;46.2995;Kraberk;True;;3215.0;Škedenj (Slovenske Konjice)
287;15.4352;46.2545;Ponikva;True;;3232.0;Ponikva (celje)
288;15.4348;46.2095;Tratna pri Grobelnem ;True;;3231.0;Tratna pri Grobelnem (Šentjur)
289;15.4345;46.1646;Voduce;True;;3263.0;Bukovje pri Slivnici
290;15.4341;46.1196;Loke pri Planini;True;;3225.0;Loke pri Planini
291;15.4323;45.8946;Pristava pri Leskovcu;True;;8273.0;Veliki Podlog
292;15.432;45.8496;Slinovce;True;;8311.0;Kostanjevica na Krki
293;15.5029;46.5691;Spodnji Boč;True;;2352.0;Selnica ob Dravi
294;15.5025;46.5242;Smolnik;True;;2342.0;Ruše
295;15.5017;46.4342;Urh;True;;2316.0;Planina pod Šumnikom
296;15.5013;46.3892;Gladomes;True;;2316.0;Gladomes
297;15.5009;46.3442;Spodnje Grušovje;True;;3210.0;Tepanje
298;15.5004;46.2992;Loče;True;;3215.0;Loče (Poljčane)
299;15.5;46.2543;Vodenovo;True;;3240.0;Vodenovo (Šmarje pri Jelšah)
300;15.4996;46.2093;Cerovec pri Šmarju;True;;3240.0;Cerovec pri Šmarju
301;15.4992;46.1643;Loka pri Žusmu;True;;3223.0;Babna Gora (Šentjur)
302;15.4988;46.1193;Krivica;True;;3262.0;Brezovje pri Šentjurju
303;15.498;46.0293;Mali Kamen;True;;8281.0;Mali Kamen (Senovo)
304;15.4976;45.9843;Sremič;True;;8270.0;Brestanica
305;15.4972;45.9394;Žadovinek;True;;8273.0;Krško
306;15.4968;45.8944;Hrastje pri Cerkljah;True;;8263.0;Črešnjice pri Cerkljah
307;15.5691;46.6588;Grušena;True;;2201.0;Špičnik (Zgornja Kungota)
308;15.5682;46.5688;Bresternica;True;Test;2354.0;
309;15.5677;46.5239;Hrastje;True;;2341.0;
310;15.5667;46.4339;Kalše;True;;2315.0;
311;15.5663;46.3889;Slovenska Bistrica;True;;2310.0;Slovenska Bistrica
312;15.5658;46.3439;Križni Vrh;True;;2318.0;
313;15.5653;46.2989;Ljubično;True;;2319.0;
314;15.5649;46.254;Krtince;True;;3241.0;
315;15.5644;46.209;Koretno;True;;3240.0;
316;15.564;46.164;Olimje;True;;3254.0;
317;15.5635;46.119;Verače;True;;3254.0;
318;15.563;46.074;Kozje;True;;3260.0;
319;15.5626;46.029;Poklek pri Podsredi;True;;3257.0;
320;15.5621;45.984;Oklukova Gora;True;;8256.0;
321;15.5617;45.9391;Trebež;True;;8253.0;
322;15.5612;45.8941;Krška vas;True;;8262.0;Krška vas
323;15.6344;46.6585;Stara Gora pri Šentilju;True;;2212.0;
324;15.6339;46.6135;Kozjak nad Pesnico;True;;2201.0;
325;15.6334;46.5685;Maribor;True;;2000.0;Maribor - Center
326;15.6328;46.5235;Razvanje;True;;2000.0;Maribor - Razvanje
327;15.6323;46.4785;Čreta;True;;2311.0;
328;15.6318;46.4335;Požeg;True;;2327.0;
329;15.6313;46.3886;Leskovec;True;;2331.0;
